id,product_series,product_name,manufacturer,product_type,supported_protocols
961,Tmax XT7,Tmax XT7 & Ekip Touch Measuring & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
962,EC-300 Series,ECR311D,Hager,Power Meters,modbus
963,Magnum SB,Magnum SB & Digitrip RMS 520MC & mMint,Eaton,Circuit Breakers,modbus
964,Tmax XT7,Tmax XT7 & Ekip Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
965,IQ Pump,1000,Yaskawa,Variable Frequency Drives,modbus | ethernet-ip
966,SR,489,General Electric,Protection Relays,modbus
967,F-PRO,215,ERL,Protection Relays,modbus
968,ECSEM,B21/B23/B24,Janitza,Power Meters,modbus
969,E,510,Teco,Variable Frequency Drives,modbus
970,Solectria,SGI500/750XTM,Yaskawa,Solar Inverters,modbus
971,Q2V,400V,Omron,Variable Frequency Drives,modbus
972,Tmax XT4,Tmax XT4 & TMA & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
973,ComPact NS,Micrologic Type H,Schneider Electric,Circuit Breakers,modbus
974,Tmax XT4,Tmax XT4 & Ekip M-LRIU & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
975,Commander,C300-Standard,Control Techniques,Variable Frequency Drives,modbus
976,VLT HVAC Drive,FC 102,Danfoss,Variable Frequency Drives,modbus | ethernet-ip
977,10,VG,Saftronics,General Purpose AC Drives,modbus
978,Altivar Series,Altivar 61,Schneider Electric,Variable Frequency Drives,modbus
979,Tmax XT4,Tmax XT4 & Ekip M Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
980,Eco-Power Meter,KW2M-A,Panasonic,Power Meters,modbus
981,Unidrive,SPMA,Control Techniques,Variable Frequency Drives,modbus
982,Tmax XT4,Tmax XT4 & Ekip M Dip & Ekip Com STA Modbus TCP,ABB,Circuit Breakers,modbus
983,VFD,B,Delta Electronics,Variable Frequency Drives,modbus
984,B,23,ABB,Power Meters,modbus
985,VSU,23,Emotron,General Purpose AC Drives,modbus
986,Tmax XT5,Tmax XT5 & Ekip Touch Measuring & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
987,Tmax XT2,Tmax XT2 & MA & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
988,SR Series,369,General Electric,Protection Relays,modbus
989,Altivar Series,Altivar 320,Schneider Electric,Variable Frequency Drives,modbus
990,PowerLogic,BCPM,Schneider Electric,Power Meters,modbus
991,DSV,35,Emotron,Variable Frequency Drives,modbus
992,Tmax XT4,Tmax XT4 & Ekip G-LS/I & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
993,Sinamics,SM150,Siemens,Variable Frequency Drives,modbus
994,Power Xpert Meter,PXM1000,Eaton,Power Meters,modbus
995,Tmax XT2,Tmax XT2 & Ekip M-LRIU & Ekip Com Modbus RS-485,ABB,Circuit Breakers,modbus
996,ME96,NSR,Mitsubishi,Power Meters,modbus
997,Tmax XT4,Tmax XT4 & Ekip Dip & Ekip Com STA Modbus RS-485,ABB,Circuit Breakers,modbus
998,Sinamics,G110,Siemens,Variable Frequency Drives,modbus
999,Energy management and measurement,EMDX3,Legrand,Power Meters,modbus
1000,Emax,Emax w. PR123/P-LSI,ABB,Circuit Breakers,modbus
1001,Tmax XT7 M,Tmax XT7 M & Ekip G Touch & Ekip Com Modbus RTU,ABB,Circuit Breakers,modbus
1002,Unidrive,M701 (Standard Addressing),Control Techniques,Variable Frequency Drives,modbus
1003,Relion 611 series,REB 611,ABB,Protection Relays,modbus
1004,U,U1000,Omron,Variable Frequency Drives,modbus
1005,IZMX,IZMX 40 & PXR 20 & CAM + MCAM,Eaton,Circuit Breakers,modbus
1006,Tmax XT4,Tmax XT4 & Ekip Hi-Touch & Ekip Com EtherNet/IP,ABB,Circuit Breakers,ethernet-ip
1007,Conext,SmartGen NA/ SmartGen IEC,Schneider Electric,Solar Inverters,modbus
1008,UMG,104,Janitza,Power Meters,modbus
1009,Emax,Emax & PR112/P & PR112/PD-M,ABB,Circuit Breakers,modbus
1010,NRX,NRX & Digitrip 1150i & CAM + ECAM,Eaton,Circuit Breakers,modbus
1011,Emax 2,Emax 2 & Ekip UP & Ekip Com Modbus TCP,ABB,Circuit Breakers,modbus
